model_name,prompt,generated_answer,expected_intention,latency_ms,tokens_per_second,peak_ram_mb
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,"Ilumine a varanda, por favor",LIGAR_LUZ,LIGAR_LUZ,2100.0447273254395,3.8094426732465765,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Acenda o abajur do quarto,LIGAR_ABAJO,LIGAR_LUZ,729.4011116027832,12.33888988765514,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,"Luz da garagem, por favor",LIGAR_LUZ,LIGAR_LUZ,636.4865303039551,12.569001257857865,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Preciso de luz para ler aqui na poltrona,LIGAR_LUZ,LIGAR_LUZ,610.1677417755127,13.111148709240165,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Vamos clarear um pouco as coisas,LIGAR_LUZ,LIGAR_LUZ,566.0533905029297,14.132942464830258,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,"Estou chegando em casa, acenda a entrada",AJUSTAR_ENTRADA,LIGAR_LUZ,691.2429332733154,14.466694006759603,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Ligue a luz da sala de estar,LIGAR_LUZ,LIGAR_LUZ,542.7792072296143,14.738958113065163,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Acenda a iluminação da cozinha,AJUSTAR_TEMPERATUR,LIGAR_LUZ,652.3451805114746,15.329307702035061,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Quero um pouco mais de claridade aqui,LIGAR_LUZ,LIGAR_LUZ,572.7674961090088,13.967273028491554,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Está muito escuro neste quarto,LIGAR_LUZ,LIGAR_LUZ,677.6392459869385,11.80569166761956,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,"Luzes, por favor",LIZAR_LUZ,LIGAR_LUZ,629.5309066772461,12.707874887708279,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Ativar modo leitura no escritório,ATAUAR_LEITURA,LIGAR_LUZ,680.7587146759033,14.689492450729501,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Modo noturno ativado,AJUSTAR_TEMPERATUR,DESLIGAR_LUZ,752.2788047790527,13.292943967678365,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Apaga a luz do banheiro,LIGAR_LUZ,DESLIGAR_LUZ,679.8491477966309,11.767316361177684,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Zerar iluminação da casa,LIZAR_LUZ,DESLIGAR_LUZ,599.1897583007812,13.351363051809974,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,"Estou de saída, pode apagar tudo",LIGAR_LUZ,DESLIGAR_LUZ,570.7910060882568,14.015637798544821,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Vamos economizar energia,AJUSTAR_TEMPERATUR,DESLIGAR_LUZ,688.1065368652344,14.53263334127939,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Chega de luz por hoje,LIGAR_LUZ,DESLIGAR_LUZ,645.5152034759521,12.393201518603783,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Apague todas as luzes,LIZAR_LUZ,DESLIGAR_LUZ,572.4160671234131,13.975848092809033,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Desligue a lâmpada do corredor,AJUSTAR_TEMPERATUR,DESLIGAR_LUZ,683.513879776001,14.63028081196708,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Pode deixar tudo escuro para o filme?,DESLIGAR_LUZ,DESLIGAR_LUZ,626.1749267578125,14.372980481029314,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,"Vou dormir, boa noite",AJUSTAR_TEMPERATUR,DESLIGAR_LUZ,775.6710052490234,12.892063687219524,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Cortar energia da iluminação,LIQUIDAR_ILUMINAÇ,DESLIGAR_LUZ,736.6180419921875,13.575556706369756,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Modo cinema,AJUSTAR_TEMPERATUR,DESLIGAR_LUZ,657.3479175567627,15.212644222207473,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Ligue o ar condicionado,LIZAR_AR_CONDICION,AJUSTAR_TEMPERATURA,698.946475982666,14.307247183614102,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Que calor! Pode refrescar o ambiente?,LIGAR_LUZ,AJUSTAR_TEMPERATURA,591.5851593017578,13.522989673105258,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Desligue o aquecedor,AJUSTAR_TEMPERATUR,AJUSTAR_TEMPERATURA,698.7297534942627,14.311684810888922,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Aumente a velocidade do ventilador,AJUSTAR_VENTILADOR,AJUSTAR_TEMPERATURA,631.610631942749,15.83253905850405,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Ativar modo de economia do ar condicionado,AJUSTAR_TEMPERATUR,AJUSTAR_TEMPERATURA,703.7954330444336,14.208674183551654,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Quero o quarto em 22 graus,AJUSTAR_TEMPERATUR,AJUSTAR_TEMPERATURA,681.513786315918,14.67321747672536,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Ajuste o ar condicionado para 23 graus,AJUSTAR_TEMPERATUR,AJUSTAR_TEMPERATURA,675.4918098449707,14.804028493395142,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Estou com um pouco de frio,AJUSTAR_TEMPERATUR,AJUSTAR_TEMPERATURA,794.1429615020752,12.592191185684731,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Pode deixar o ambiente mais quente?,DESLIGAR_AOM,AJUSTAR_TEMPERATURA,568.8924789428711,14.062411257160196,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Qual a temperatura agora?,NAO_RECONHECIDO,AJUSTAR_TEMPERATURA,686.9034767150879,14.5580861634622,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Diminua a ventilação,INCREMENTAR_VENTILADOR,AJUSTAR_TEMPERATURA,718.8951969146729,13.9102334289026,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Climatizador em 21C,AJUSTAR_TEMPERATUR,AJUSTAR_TEMPERATURA,792.8352355957031,12.612961118568878,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Pausar a música,AJUSTAR_TEMPERATUR,TOCAR_MUSICA,748.8803863525391,13.353267333793479,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Diminua o volume,INCREMENTAR_VOLUME,TOCAR_MUSICA,762.1574401855469,13.120648664881504,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Que música está tocando?,TOCA_MUSICA,TOCAR_MUSICA,578.7756443023682,13.822281705794417,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Toque os maiores sucessos dos anos 80,TOCA_SUCCESOS,TOCAR_MUSICA,647.0780372619629,12.363269249333651,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Coloque um podcast para tocar,COLOCAR_PADRÃO,TOCAR_MUSICA,804.3785095214844,12.431958190863263,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Volte para a música anterior,AJUSTAR_TEMPERATUR,TOCAR_MUSICA,696.1085796356201,14.365574987216114,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Tocar rádio FM,TOCA_RADIO,TOCAR_MUSICA,521.1987495422363,13.430577118897599,1249.875
tinyllama-1.1b-chat-v1.0.Q4_0.gguf,Toque um pouco de rock clássico,TOCA_MUSICA,TOCAR_MUSICA,687.1476173400879,11.642330989908075,1249.875
