model_name,prompt,generated_answer,expected_intention,latency_ms,tokens_per_second,peak_ram_mb
phi-3-mini-4k-instruct-q4.gguf,"Ilumine a varanda, por favor",LIGAR_LUZ,LIGAR_LUZ,20745.44382095337,0.38562684264772484,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Acenda o abajur do quarto,LIGAR_LUZ,LIGAR_LUZ,3023.7088203430176,2.645757404343074,2599.5625
phi-3-mini-4k-instruct-q4.gguf,"Luz da garagem, por favor",NAO_RECONHECIDO,LIGAR_LUZ,3371.7434406280518,2.9658247064424654,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Preciso de luz para ler aqui na poltrona,NAO_RECONHECIDO,LIGAR_LUZ,4030.796527862549,2.4808992294391006,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Vamos clarear um pouco as coisas,NAO_RECONHECIDO,LIGAR_LUZ,3761.0042095184326,2.658864346573125,2599.5625
phi-3-mini-4k-instruct-q4.gguf,"Estou chegando em casa, acenda a entrada",LIGAR_LUZ,LIGAR_LUZ,3410.1758003234863,2.345920113338769,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Ligue a luz da sala de estar,LIGAR_LUZ,LIGAR_LUZ,3155.224084854126,2.5354776031287365,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Acenda a iluminação da cozinha,LIGAR_LUZ,LIGAR_LUZ,3236.905336380005,2.471496435217597,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Quero um pouco mais de claridade aqui,NAO_RECONHECIDO,LIGAR_LUZ,3675.0848293304443,2.7210256264538737,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Está muito escuro neste quarto,NAO_RECONHECIDO,LIGAR_LUZ,3459.7041606903076,2.890420549138722,2599.5625
phi-3-mini-4k-instruct-q4.gguf,"Luzes, por favor",NAO_RECONHECIDO,LIGAR_LUZ,3252.1119117736816,3.0749249322561174,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Ativar modo leitura no escritório,NAO_RECONHECIDO,LIGAR_LUZ,3732.7802181243896,2.678968333427544,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Modo noturno ativado,NAO_RECONHECIDO,DESLIGAR_LUZ,3376.673698425293,2.961494326402781,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Apaga a luz do banheiro,NAO_RECONHECIDO,DESLIGAR_LUZ,3463.2740020751953,2.887441188311406,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Zerar iluminação da casa,NAO_RECONHECIDO,DESLIGAR_LUZ,3462.711811065674,2.887909980854696,2599.5625
phi-3-mini-4k-instruct-q4.gguf,"Estou de saída, pode apagar tudo",NAO_RECONHECIDO,DESLIGAR_LUZ,3676.753520965576,2.719790691156756,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Vamos economizar energia,NAO_RECONHECIDO,DESLIGAR_LUZ,3197.6096630096436,3.127336058456814,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Chega de luz por hoje,NAO_RECONHECIDO,DESLIGAR_LUZ,3373.3630180358887,2.964400791297704,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Apague todas as luzes,NAO_RECONHECIDO,DESLIGAR_LUZ,3284.388303756714,3.044706981985628,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Desligue a lâmpada do corredor,LIGAR_LUZ,DESLIGAR_LUZ,3327.406167984009,2.404275160927227,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Pode deixar tudo escuro para o filme?,NAO_RECONHECIDO,DESLIGAR_LUZ,3679.321527481079,2.7178923954618766,2599.5625
phi-3-mini-4k-instruct-q4.gguf,"Vou dormir, boa noite",NAO_RECONHECIDO,DESLIGAR_LUZ,3587.454080581665,2.7874921254402825,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Cortar energia da iluminação,NAO_RECONHECIDO,DESLIGAR_LUZ,3588.2279872894287,2.786890920928931,2599.5625
phi-3-mini-4k-instruct-q4.gguf,Modo cinema,NAO_RECONHECIDO,DESLIGAR_LUZ,2929.417371749878,3.413648084576809,2599.5625
